"longitude" "latitude" "slope" "aspect" "cover_tree" "cover_shrub" "year" "cover_field" "location" "coord_system" "geodetic_dat" "accuracy_m" "altitude_m" "country" "Parent_plot" "shape" "size" "date" "formation" "pH" "foliage" "bare_soil" "litter" "standing_dead" "Living_stems" "Cover_field_layer_vascular" "cover_juvenile" "cover_seedling" "cover_field_layer_non_vascular" "Permanent_plot_id" "aspect_radians" "northerness" "vegclass"
"H1_2016" 8.57947 49.10751 7 360 70 10 2016 15 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.28318530717959 1 1
"H2_2016" 8.57923 49.10734 2 350 25 90 2016 30 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.10865238198015 0.984807753012208 3
"H3_2016" 8.5746 49.10406 20 230 60 40 2016 25 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.01425727958696 -0.642787609686539 2
"H4_2016" 8.57468 49.10416 25 220 70 40 2016 5 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.83972435438753 -0.766044443118978 2
"H5_2016" 8.57456 49.1045 27 230 90 30 2016 15 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.01425727958696 -0.642787609686539 1
"H6_2016" 8.22764 49.01065 NA 40 70 1 2016 1 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.698131700797732 0.766044443118978 1
"H7_2016" 8.22723 49.0108 2 225 90 30 2016 35 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.92699081698724 -0.707106781186548 1
"H8_2016" 8.22641 49.0106 NA NA 40 20 2016 60 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3
"H9_2016" 8.22712 49.01145 7 60 40 40 2016 30 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.0471975511966 0.5 3
"H10_2016" 8.2268 49.0117 7 60 50 80 2016 80 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.0471975511966 0.5 1
"F1_2016" 8.57932 49.10847 NA 15 83 9 2016 10 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.261799387799149 0.965925826289068 1
"F2_2016" 8.57811 49.10814 NA 13 85 33 2016 83 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.226892802759263 0.974370064785235 1
"F3_2016" 8.57712 49.1014 NA 35 70 3 2016 10 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.610865238198015 0.819152044288992 1
"F4_2016" 8.57586 49.1033 NA 20 55 25 2016 5 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.349065850398866 0.939692620785908 1
"F5_2016" 8.22745 49.00998 NA 0 60 20 2016 20 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 3
"F6_2016" 8.2278 49.01017 NA 0 96 8 2016 2 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 3
"F7_2016" 8.2277 49.01062 NA 25 50 4 2016 6 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.436332312998582 0.90630778703665 1
"F8_2016" 8.22814 49.01097 NA 0 15 40 2016 83 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 3
"F9_2016" 8.2291 49.01092 NA 0 40 15 2016 10 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 3
"G6_2016" 8.22849 49.01006 28 40 85 3 2016 2 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.698131700797732 0.766044443118978 1
"G6.1_2016" 8.22798 49.01244 3 NA 40 3 2016 25 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3
"G7_2016" 8.22769 49.0093 3 160 70 7 2016 10 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.79252680319093 -0.939692620785908 3
"G1_2016" 8.22836 49.00986 1 NA 80 5 2016 25 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3
"B5_2016" 8.2293 49.01059 0 NA 75 5 2016 2 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3
"B8_2016" 8.22737 49.01233 0 NA 30 25 2016 2 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3
"M1_2015" NA NA 14 320 9 1 2015 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.58505360638185 0.766044443118978 2
"M2_2015" 8.5745858601 49.1039801264 21 210 6 6 2015 1 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.66519142918809 -0.866025403784439 1
"M3_2015" 8.5766723312 49.1035110355 19 225 9 3 2015 2 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.92699081698724 -0.707106781186548 2
"D1_2015" NA NA 10 320 8 2 2015 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.58505360638185 0.766044443118978 1
"D2_2015" NA NA 24 210 7 7 2015 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.66519142918809 -0.866025403784439 2
"D3_2015" 8.5756168195 49.103579124 22.5 220 8 7 2015 3 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.83972435438753 -0.766044443118978 2
"A1_2015" 8.5789994861 49.1084337791 16 337.5 95 15 2015 50 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.89048622548086 0.923879532511287 1
"A2_2015" 8.5740504548 49.1042669073 23 218 70 40 2015 20 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.80481776934764 -0.788010753606722 2
"A3_2015" 8.576999342 49.1029167328 17 215 85 20 2015 25 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.75245789178781 -0.819152044288992 1
"B1_2015" 8.5790182333 49.1079993658 18 22.5 85 30 2015 30 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.392699081698724 0.923879532511287 1
"B2_2015" 8.5726634435 49.1044857689 20 112.5 80 50 2015 20 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.96349540849362 -0.38268343236509 2
"B3_2015" 8.5730966812 49.1050900695 25 112.5 70 30 2015 5 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.96349540849362 -0.38268343236509 1
"F1_2015" 8.5786356657 49.1078720333 15 22.5 65 25 2015 33 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.392699081698724 0.923879532511287 1
"F2_2015" 8.5730192638 49.104532063 35 112.5 50 85 2015 47 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.96349540849362 -0.38268343236509 2
"F3_2015" NA NA 27 315 55 50 2015 30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.49778714378214 0.707106781186547 2
"G1_2015" 8.5792691905 49.1074875382 7.5 NA 70 15 2015 40 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1
"G2_2015" 8.5738034907 49.1041481549 25 NA 50 60 2015 27 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2
"G3_2015" 8.5747604258 49.104394562 16 NA 70 70 2015 40 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2
"H1_2015" 8.5791600383 49.1074331674 18.5 NA 60 50 2015 40 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1
"H2_2015" NA NA 33 225 6 6 2015 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.92699081698724 -0.707106781186548 2
"H3_2015" NA NA NA 225 40 40 2015 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.92699081698724 -0.707106781186548 2
"E1_2015" 8.5781117415 49.1082569255 7 0 80 10 2015 60 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1
"E2_2015" 8.5746903872 49.1045742138 16.5 225 40 45 2015 10 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.92699081698724 -0.707106781186548 1
"E3_2015" 8.5731928155 49.1050634385 26.5 315 60 60 2015 7 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.49778714378214 0.707106781186547 1
"p2_2017" 8.34 49.6 29 225 75 25 2017 NA "E" "Latlon" "WGS84" NA 188 "DE" "logger_19" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 4.5 85 40 60 0 3 10 15 10 1 19 3.92699081698724 -0.707106781186548 2
"p3_2017" 8.3454 49.6179 20 225 80 30 2017 NA "E" "Latlon" "WGS84" NA 190 "DE" "logger_19_2" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 4 90 5 80 1 15 1 15 10 8 19.2 3.92699081698724 -0.707106781186548 1
"p4_2017" 8 49 16 330 80 5 2017 NA "E" "Latlon" "WGS84" NA NA "DE" "logger_20" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 4.5 85 2 98 2 3 50 1 1 3 20 5.75958653158129 0.866025403784438 1
"p5_2017" 8.58 49.1 3 330 75 12 2017 NA "E" "Latlon" "WGS84" NA 231 "DE" "logger_7" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 5 95 5 95 0 3 60 1 1 4 7 5.75958653158129 0.866025403784438 1
"p6_2017" 8.5 49.1 12 320 80 4 2017 NA "E" "Latlon" "WGS84" NA 186 "DE" "logger_2_2" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 6.5 95 0 100 0 2 70 3 1 4 2.2 5.58505360638185 0.766044443118978 1
"p8_2017" 8.0435 49.6426 22 300 60 2 2017 NA "E" "Latlon" "WGS84" NA 165 "DE" "logger_6" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 5 75 2 80 1 2 40 1 1 10 6 5.23598775598299 0.5 1
"p9_2017" 8.34394 49.6222 25 230 70 5 2017 NA "E" "Latlon" "WGS84" NA NA "DE" "logger_4_2" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 7.5 80 1 96 1 2 40 1 1 10 4.2 4.01425727958696 -0.642787609686539 1
"p11_2017" 8.57 49.1 11 225 90 3 2017 NA "E" "Latlon" "WGS84" 5 254 "DE" "logger_1" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 4.5 95 1 99 1 5 7 1 1 1 1 3.92699081698724 -0.707106781186548 1
"p12_2017" 8.34 49.6 21 199 65 10 2017 NA "E" "Latlon" "WGS84" 5 250 "DE" "logger_10 " "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 4.5 80 15 70 1 6 5 5 1 15 10 3.47320521146872 -0.945518575599317 1
"p14_2017" 8.57445 49.1056 13 315 70 25 2017 NA "E" "Latlon" "WGS84" 10 194 "DE" "logger_11" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 7 80 4 96 1 3 40 0 1 1 11 5.49778714378214 0.707106781186547 1
"p15_2017" 8.57261 49.1041 40 190 70 25 2017 NA "E" "Latlon" "WGS84" 6 139 "DE" "logger_4" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 6 70 5 40 1 3 60 1 2 6 4 3.31612557878923 -0.984807753012208 1
"p17_2017" 8.34648 49.6524 19 30 85 2 2017 NA "E" "Latlon" "WGS84" NA 144 "DE" "logger_2" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 7 95 1 70 1 1 70 3 2 2 2 0.523598775598299 0.866025403784439 1
"p19_2017" 8.54836 49.0763 19 310 10 7 2017 NA "E" "Latlon" "WGS84" 13 181 "DE" "logger_18" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 7 100 2 65 1 10 35 15 3 1 18 5.41052068118242 0.642787609686539 1
"p20_2017" 8.55143 49.0782 21 0 50 60 2017 NA "E" "Latlon" "WGS84" 9 176 "DE" "logger_18_2" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 7 90 1 10 5 10 75 10 10 2 18.2 0 1 1
"p21_2017" 8.55 49.1 18 300 80 25 2017 NA "E" "Latlon" "WGS84" NA 218 "DE" "logger_15" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 6.5 90 1 99 1 5 30 15 5 0.1 15 5.23598775598299 0.5 1
"p22_2017" 8.32888 49.436 2 0 85 25 2017 NA "E" "Latlon" "WGS84" NA NA "DE" "logger_21" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 6 90 1 80 1 2 40 0 0 1 21 0 1 1
"p23_2017" 8.32972 49.4418 34 170 65 30 2017 NA "E" "Latlon" "WGS84" NA NA "DE" "logger_22" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 5 70 40 30 0 1 25 2 1 1 22 2.96705972839036 -0.984807753012208 2
"p25_2017" 8.55254 49.0774 24 230 75 1 2017 NA "E" "Latlon" "WGS84" 5 207 "DE" "logger_13" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 5 85 1 99 0 2 20 2 2 1 13 4.01425727958696 -0.642787609686539 1
"p27_2017" 8.55187 49.0786 17 30 93 20 2017 NA "E" "Latlon" "WGS84" 11 153 "DE" "logger_14" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 5 95 4 95 1 1 40 15 5 2 14 0.523598775598299 0.866025403784439 1
