"X" "longitude" "latitude" "slope" "aspect" "cover_tree" "cover_shrub" "year" "cover_field" "location" "coord_system" "geodetic_dat" "accuracy_m" "altitude_m" "country" "Parent_plot" "shape" "size" "date" "formation" "pH" "foliage" "bare_soil" "litter" "standing_dead" "Living_stems" "Cover_field_layer_vascular" "cover_juvenile" "cover_seedling" "cover_field_layer_non_vascular" "Permanent_plot_id" "aspect_radians" "northerness" "vegclass" "color" "L" "T" "K" "F" "R" "N"
"62" "F2_2015" 8.5730192638 49.104532063 35 112.5 50 "85" 2015 "47" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.96349540849362 -0.38268343236509 2 3 5.13333333333333 5.44 3.3448275862069 5.06896551724138 7.04761904761905 5.5
"64" "G1_2015" 8.5792691905 49.1074875382 7.5 NA 70 "15" 2015 "40" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 3 4.5 5.36363636363636 3 5.47058823529412 6.58333333333333 5.92857142857143
"65" "G2_2015" 8.5738034907 49.1041481549 25 NA 50 "60" 2015 "27" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 3 5.15 5.47058823529412 3.28571428571429 4.5 6.33333333333333 4.42857142857143
"66" "G3_2015" 8.5747604258 49.104394562 16 NA 70 "70" 2015 "40" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 3 4.66666666666667 5.36363636363636 3.21052631578947 5.27777777777778 6.5 5.38461538461539
"67" "H1_2015" 8.5791600383 49.1074331674 18.5 NA 60 "50" 2015 "40" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 4 4 5.21428571428571 3.10526315789474 5.36842105263158 6.3 6
"70" "E1_2015" 8.5781117415 49.1082569255 7 0 80 "10" 2015 "60" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 1 5 5.5 3.33333333333333 5.4 7 7
"71" "E2_2015" 8.5746903872 49.1045742138 16.5 225 40 "45" 2015 "10" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.92699081698724 -0.707106781186548 2 3 3.83333333333333 5.375 3 5.08333333333333 5.66666666666667 5.16666666666667
"72" "E3_2015" 8.5731928155 49.1050634385 26.5 315 60 "60" 2015 "7" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.49778714378214 0.707106781186547 1 1 5 5.33333333333333 3.33333333333333 5.33333333333333 7 6.66666666666667
"1" "id1_2016" 8.22824 49.0104 55 7 70 "6" 2016 "1" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.122173047639603 0.992546151641322 1 1 4 5.5 3 5.16666666666667 4 5.66666666666667
"2" "id2_2016" 8.22816 49.0999 0 0 80 "2" 2016 "1" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 1 3.88888888888889 5.5 3 5.28571428571429 5.2 6.33333333333333
"3" "id3_2016" 8.22866 49.0104 15 7 60 "20" 2016 "60" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.122173047639603 0.992546151641322 2 2 4.36842105263158 5.5 3.35 5.52941176470588 6.5 6.75
"4" "id5_2016" 8.22862 49.0108 0 0 40 "40" 2016 "40" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 3 5.4 5.33333333333333 3 5.4 7 7
"5" "id7_2016" 8.57684 49.1084 35 57 80 "45" 2016 "30" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.994837673636768 0.544639035015027 2 2 4.35714285714286 5.27272727272727 3.07142857142857 5.30769230769231 6.5 6.11111111111111
"6" "id8_2016" 8.57915 49.1085 27 2 80 "1" 2016 "12" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.0349065850398866 0.999390827019096 2 2 3.4 5.25 3 5.5 6.5 6.14285714285714
"7" "id10_2016" 8.57536 49.1036 37 39 70 "25" 2016 "15" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.680678408277788 0.777145961456971 1 3 5 5.77777777777778 3.1 4.6 6 4.5
"8" "id12_2016" 8.22828 49.0106 13 30 2 "85" 2016 "75" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.523598775598299 0.866025403784439 2 2 4.57142857142857 5.42857142857143 3 5.38461538461539 6.33333333333333 6.16666666666667
"9" "id13_2016" 8.22278 49.0106 36 43 3 "96" 2016 "60" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.750491578357562 0.731353701619171 1 1 4 5.33333333333333 3.625 5.4 4 5
"10" "id14_2016" 8.22753 49.0105 0 0 5 "95" 2016 "80" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 1 4.61538461538461 5.25 3.16666666666667 5.16666666666667 5.16666666666667 5.77777777777778
"11" "id16_2016" 8.22693 49.0119 0 0 20 "70" 2016 "75" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 1 4.77777777777778 5 3 5.42857142857143 6 6.42857142857143
"12" "G2_2016" 8.22874 49.01019 3 270 40 "3" 2016 "90" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.71238898038469 -1.83697019872103e-16 3 4 4.85714285714286 5.5 3.42857142857143 6 6.71428571428571 6.45454545454545
"13" "G3_2016" 8.22772 49.01033 0 260 95 "1" 2016 "1" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.53785605518526 -0.17364817766693 3 1 4.33333333333333 5.25 2.66666666666667 5.66666666666667 6.33333333333333 6
"14" "G4_2016" 8.22736 49.01127 15 260 40 "60" 2016 "40" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.53785605518526 -0.17364817766693 3 4 4.27777777777778 5.3 3 5.5 6.15384615384615 6.11111111111111
"15" "G5_2016" 8.2271 49.01134 37 250 85 "1" 2016 "1" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.36332312998582 -0.342020143325669 1 1 4 5.5 3.33333333333333 5 3 5
"16" "C1_2016" 8.57847 49.10855 15 21 50 "20" 2016 "65" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.366519142918809 0.933580426497202 3 4 4.2 5.58333333333333 3.13333333333333 5.30769230769231 6.7 5.88888888888889
"17" "C2_2016" 8.5753 49.10377 27 212 60 "30" 2016 "10" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.70009801422798 -0.848048096156426 2 3 4.25 5.44444444444444 3.08333333333333 5.1 6.8 5.5
"18" "C4_2016" 8.57596 49.10414 13 260 95 "10" 2016 "5" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.53785605518526 -0.17364817766693 1 1 4.77777777777778 5.5 3.4 4.875 6 5
"19" "C3_2016" 8.57573 49.10388 20 238 80 "20" 2016 "2" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.1538836197465 -0.529919264233205 2 3 5 5.25 3 5 7 5.33333333333333
"20" "B1_2016" 8.5779 49.10816 2 315 70 "60" 2016 "10" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.49778714378214 0.707106781186547 3 4 3.81818181818182 5.125 2.81818181818182 5.6 6.5 5.875
"21" "B2_2016" 8.57661 49.10867 26 290 45 "15" 2016 "30" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.06145483078356 0.342020143325668 3 4 4.83333333333333 5.33333333333333 3.16666666666667 5.125 6 5.28571428571429
"22" "B3_2016" 8.57619 49.10368 18 200 50 "30" 2016 "7" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.49065850398866 -0.939692620785908 1 3 4.75 5.4 3 5.375 7.4 6.2
"23" "B4_2016" 8.5758 49.1045 18 200 50 "20" 2016 "15" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.49065850398866 -0.939692620785908 2 3 5.375 5.5 2.875 5 7.5 5
"24" "H1_2016" 8.57947 49.10751 7 360 70 "10" 2016 "15" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.28318530717959 1 3 4 4.35714285714286 5.33333333333333 3.14285714285714 5.21428571428571 7.33333333333333 5.72727272727273
"25" "H2_2016" 8.57923 49.10734 2 350 25 "90" 2016 "30" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.10865238198015 0.984807753012208 3 4 3.92857142857143 5 3.13333333333333 5.5625 6.6 6.30769230769231
"26" "H3_2016" 8.5746 49.10406 20 230 60 "40" 2016 "25" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.01425727958696 -0.642787609686539 2 3 4.9375 5.6 3.375 4.82352941176471 6.33333333333333 4.83333333333333
"27" "H4_2016" 8.57468 49.10416 25 220 70 "40" 2016 "5" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.83972435438753 -0.766044443118978 2 3 4.25 5.625 3.21428571428571 4.92857142857143 6.71428571428571 4.75
"28" "H5_2016" 8.57456 49.1045 27 230 90 "30" 2016 "15" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.01425727958696 -0.642787609686539 2 3 4.375 5.4 2.77777777777778 5 7 4.75
"29" "H6_2016" 8.22764 49.01065 NA 40 70 "1" 2016 "1" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.698131700797732 0.766044443118978 1 1 4.66666666666667 5.33333333333333 3.66666666666667 5 3.5 3.5
"30" "H7_2016" 8.22723 49.0108 2 225 90 "30" 2016 "35" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.92699081698724 -0.707106781186548 1 1 4.33333333333333 5.28571428571429 2.91666666666667 5 5 5.75
"31" "H8_2016" 8.22641 49.0106 NA NA 40 "20" 2016 "60" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 1 5.6 5.27272727272727 3.35714285714286 5.11111111111111 5.16666666666667 6.125
"32" "H9_2016" 8.22712 49.01145 7 60 40 "40" 2016 "30" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.0471975511966 0.5 3 4 4.2 5 3.41666666666667 5.81818181818182 6.42857142857143 6.66666666666667
"33" "H10_2016" 8.2268 49.0117 7 60 50 "80" 2016 "80" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.0471975511966 0.5 3 4 4.25 5.25 3.07692307692308 5.6 6.33333333333333 6.8
"34" "F1_2016" 8.57932 49.10847 NA 15 83 "9" 2016 "10" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.261799387799149 0.965925826289068 3 4 4.30769230769231 5.1 3.23076923076923 5.09090909090909 6.16666666666667 6.1
"35" "F2_2016" 8.57811 49.10814 NA 13 85 "33" 2016 "83" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.226892802759263 0.974370064785235 3 4 4.07142857142857 5.09090909090909 2.92857142857143 5.35714285714286 6.25 6.3
"36" "F3_2016" 8.57712 49.1014 NA 35 70 "3" 2016 "10" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.610865238198015 0.819152044288992 1 1 4.25 5.5 2.5 5 NA NA
"37" "F4_2016" 8.57586 49.1033 NA 20 55 "25" 2016 "5" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.349065850398866 0.939692620785908 2 3 4.8 5.57142857142857 3.18181818181818 5.11111111111111 6.8 6
"38" "F5_2016" 8.22745 49.00998 NA 0 60 "20" 2016 "20" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 3 4 4.85714285714286 5.55555555555556 3.30769230769231 5.2 6.25 6.6
"39" "F6_2016" 8.2278 49.01017 NA 0 96 "8" 2016 "2" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 3 1 4.75 5.6 3.41666666666667 5.33333333333333 5.28571428571429 6
"40" "F7_2016" 8.2277 49.01062 NA 25 50 "4" 2016 "6" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.436332312998582 0.90630778703665 1 1 4.5 5 3.28571428571429 5 4.75 5
"41" "F8_2016" 8.22814 49.01097 NA 0 15 "40" 2016 "83" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 3 4 5 5.18181818181818 3.35714285714286 6.07692307692308 6.4 6.30769230769231
"42" "F9_2016" 8.2291 49.01092 NA 0 40 "15" 2016 "10" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 3 4 4.15384615384615 5.22222222222222 3 5.63636363636364 7.16666666666667 6.375
"43" "G6_2016" 8.22849 49.01006 28 40 85 "3" 2016 "2" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.698131700797732 0.766044443118978 1 1 4.28571428571429 5 3.33333333333333 5.25 4.75 5.4
"44" "G6.1_2016" 8.22798 49.01244 3 NA 40 "3" 2016 "25" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 4 4.75 5.5 3 5.85714285714286 6.57142857142857 6.66666666666667
"45" "G7_2016" 8.22769 49.0093 3 160 70 "7" 2016 "10" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.79252680319093 -0.939692620785908 3 3 5.06666666666667 5.4 3.42857142857143 5.23076923076923 5.55555555555556 5.63636363636364
"46" "G1_2016" 8.22836 49.00986 1 NA 80 "5" 2016 "25" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 4 4.66666666666667 5.33333333333333 3.18181818181818 5.28571428571429 5.57142857142857 5.44444444444444
"47" "B5_2016" 8.2293 49.01059 0 NA 75 "5" 2016 "2" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 4 4.75 5.16666666666667 3.125 5.57142857142857 7.5 6.2
"48" "B8_2016" 8.22737 49.01233 0 NA 30 "25" 2016 "2" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 4 4.88888888888889 5 3.33333333333333 6.14285714285714 6.4 5.57142857142857
"73" "p2_2017" 8.34 49.6 29 225 75 "25" 2017 NA "E" "Latlon" "WGS84" NA "188" "DE" "logger_19" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 4.5 85 40 60 "0" 3 "10" 15 10 "1" 19 3.92699081698724 -0.707106781186548 2 3 4.6 5.63636363636364 3.2 4.78571428571429 6.11111111111111 4.7
"74" "p3_2017" 8.3454 49.6179 20 225 80 "30" 2017 NA "E" "Latlon" "WGS84" NA "190" "DE" "logger_19_2" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 4 90 5 80 "1" 15 "1" 15 10 "8" 19.2 3.92699081698724 -0.707106781186548 1 1 4.33333333333333 5.33333333333333 2 5 NA NA
"75" "p4_2017" 8 49 16 330 80 "5" 2017 NA "E" "Latlon" "WGS84" NA NA "DE" "logger_20" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 4.5 85 2 98 "2" 3 "50" 1 1 "3" 20 5.75958653158129 0.866025403784438 2 2 4.33333333333333 5.4 3.125 5.35714285714286 6.88888888888889 5.92307692307692
"76" "p5_2017" 8.58 49.1 3 330 75 "12" 2017 NA "E" "Latlon" "WGS84" NA "231" "DE" "logger_7" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 5 95 5 95 "0" 3 "60" 1 1 "4" 7 5.75958653158129 0.866025403784438 2 1 4.72727272727273 5.33333333333333 3.22222222222222 5 6.6 5.66666666666667
"77" "p6_2017" 8.5 49.1 12 320 80 "4" 2017 NA "E" "Latlon" "WGS84" NA "186" "DE" "logger_2_2" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 6.5 95 0 100 "0" 2 "70" 3 1 "4" 2.2 5.58505360638185 0.766044443118978 2 2 4.64285714285714 5.35714285714286 3.25 4.77777777777778 7.14285714285714 5.22222222222222
"78" "p8_2017" 8.0435 49.6426 22 300 60 "2" 2017 NA "E" "Latlon" "WGS84" NA "165" "DE" "logger_6" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 5 75 2 80 "1" 2 "40" 1 1 "10" 6 5.23598775598299 0.5 3 2 4.08333333333333 5.3 3.18181818181818 5.5 6.85714285714286 6.11111111111111
"79" "p9_2017" 8.34394 49.6222 25 230 70 "5" 2017 NA "E" "Latlon" "WGS84" NA NA "DE" "logger_4_2" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 7.5 80 1 96 "1" 2 "40" 1 1 "10" 4.2 4.01425727958696 -0.642787609686539 2 2 4.33333333333333 5.53846153846154 3.07142857142857 5.18181818181818 7.11111111111111 5.66666666666667
"80" "p11_2017" 8.57 49.1 11 225 90 "3" 2017 NA "E" "Latlon" "WGS84" 5 "254" "DE" "logger_1" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 4.5 95 1 99 "1" 5 "7" 1 1 "1" 1 3.92699081698724 -0.707106781186548 1 2 3.75 5.16666666666667 3.25 5 6 5.75
"81" "p12_2017" 8.34 49.6 21 199 65 "10" 2017 NA "E" "Latlon" "WGS84" 5 "250" "DE" "logger_10 " "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 4.5 80 15 70 "1" 6 "5" 5 1 "15" 10 3.47320521146872 -0.945518575599317 2 3 4.5 5.33333333333333 2.25 4.75 NA 4
"82" "p14_2017" 8.57445 49.1056 13 315 70 "25" 2017 NA "E" "Latlon" "WGS84" 10 "194" "DE" "logger_11" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 7 80 4 96 "1" 3 "40" 0 1 "1" 11 5.49778714378214 0.707106781186547 2 1 3.92307692307692 5.45454545454545 3.25 5.2 7.2 5.88888888888889
"83" "p15_2017" 8.57261 49.1041 40 190 70 "25" 2017 NA "E" "Latlon" "WGS84" 6 "139" "DE" "logger_4" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 6 70 5 40 "1" 3 "60" 1 2 "6" 4 3.31612557878923 -0.984807753012208 2 2 4.9 5.44444444444444 3.36842105263158 5 7.07142857142857 5.57142857142857
"84" "p17_2017" 8.34648 49.6524 19 30 85 "2" 2017 NA "E" "Latlon" "WGS84" NA "144" "DE" "logger_2" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 7 95 1 70 "1" 1 "70" 3 2 "2" 2 0.523598775598299 0.866025403784439 2 2 4.72727272727273 5.4 3 5.11111111111111 7 5.5
"85" "p19_2017" 8.54836 49.0763 19 310 10 "7" 2017 NA "E" "Latlon" "WGS84" 13 "181" "DE" "logger_18" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 7 100 2 65 "1" 10 "35" 15 3 "1" 18 5.41052068118242 0.642787609686539 2 1 3.875 5.5 3 5.125 6.5 6
"86" "p20_2017" 8.55143 49.0782 21 0 50 "60" 2017 NA "E" "Latlon" "WGS84" 9 "176" "DE" "logger_18_2" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 7 90 1 10 "5" 10 "75" 10 10 "2" 18.2 0 1 2 2 4.1 5.66666666666667 2.9 5.2 6.8 5.57142857142857
"87" "p21_2017" 8.55 49.1 18 300 80 "25" 2017 NA "E" "Latlon" "WGS84" NA "218" "DE" "logger_15" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 6.5 90 1 99 "1" 5 "30" 15 5 "0.1" 15 5.23598775598299 0.5 2 2 5 5.625 3.33333333333333 4.66666666666667 6.69230769230769 5.16666666666667
"88" "p22_2017" 8.32888 49.436 2 0 85 "25" 2017 NA "E" "Latlon" "WGS84" NA NA "DE" "logger_21" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 6 90 1 80 "1" 2 "40" 0 0 "1" 21 0 1 1 1 3.6 5 3 5.6 7 6.33333333333333
"89" "p23_2017" 8.32972 49.4418 34 170 65 "30" 2017 NA "E" "Latlon" "WGS84" NA NA "DE" "logger_22" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 5 70 40 30 "0" 1 "25" 2 1 "1" 22 2.96705972839036 -0.984807753012208 2 3 5.23076923076923 5.63636363636364 3 4.54545454545455 6.5 4.5
"90" "p25_2017" 8.55254 49.0774 24 230 75 "1" 2017 NA "E" "Latlon" "WGS84" 5 "207" "DE" "logger_13" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 5 85 1 99 "0" 2 "20" 2 2 "1" 13 4.01425727958696 -0.642787609686539 1 1 4 5.83333333333333 3.4 5.375 5.83333333333333 6
"91" "p27_2017" 8.55187 49.0786 17 30 93 "20" 2017 NA "E" "Latlon" "WGS84" 11 "153" "DE" "logger_14" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 5 95 4 95 "1" 1 "40" 15 5 "2" 14 0.523598775598299 0.866025403784439 2 2 4.8125 5.46666666666667 3.35714285714286 5.08333333333333 7 5.81818181818182
"92" "id_1_2018" 8.5767747 49.1054052 9 315 95 "18" 2018 "60" NA NA "EPSG:4326" NA "233" "DE" "7" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 40 90 "N/A" NA "60" NA NA "N/A" NA 5.49778714378214 0.707106781186547 2 1 4.36363636363636 5.22222222222222 3.1 5 6.5 5.71428571428571
"93" "id_2_2018" 8.5725945 49.104066 37 220 90 "40" 2018 "70" NA NA "EPSG:4326" NA "146" "DE" "4" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 20 40 "N/A" NA "70" NA NA "N/A" NA 3.83972435438753 -0.766044443118978 2 2 5.7 5.375 4 4.66666666666667 7.2 4.83333333333333
"94" "id_3_2018" 8.55164 49.07483 0 0 95 "3" 2018 "30" NA NA "EPSG:4326" NA "236" "DE" "12" "Quadrat" 100 "25.07.2018" "Broad-leaf deciduous forests" NA NA 70 90 "N/A" NA "30" NA NA "N/A" NA 0 1 2 2 4.14285714285714 5.5 3 5 6.66666666666667 5.75
"95" "id_4_2018" 8.5772 49.07258 0 0 95 "30" 2018 "45" NA NA "EPSG:4326" NA "170" "DE" "21" "Quadrat" 100 "25.07.2018" "Broad-leaf deciduous forests" NA NA 50 80 "N/A" NA "45" NA NA "N/A" NA 0 1 1 1 3.6 5 3 5.66666666666667 6.5 6.75
"96" "id_5_2018" 8.5762765 49.1065299 10 280 95 "25" 2018 "45" NA NA "WGS84" NA "263" "DE" "1" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 0 90 "2" NA "45" NA NA "N/A" NA 4.88692190558412 0.17364817766693 2 1 3.90909090909091 5 3 5.3 6.625 5.71428571428571
"97" "id_6_2018" 8.5749619 49.1071403 30 315 75 "2" 2018 "35" NA NA "WGS84" NA "205" "DE" "6" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 3 70 "5" NA "35" NA NA "N/A" NA 5.49778714378214 0.707106781186547 3 2 4.23076923076923 5.36363636363636 3.25 5.45454545454545 6.875 6
