"","Lfd..Nummer","Logger","Gruppe","Plot..Gruppe.","Geogr..Breite..","Geogr..Länge..","Referenzsystem","Genauigkeit..m.","Höhe..m.","Exposition....","Hangneigung....","Land","Plotform","Plotgröße..m..","Kriterien.Flächenauswahl","Datum","Moose.bestimmt","Flechten.bestimmt","Formation","Bemerkungen","Lebende.Pflanzen....","Offener.Untergrund....","Streu....","Moribund....","Totholz..liegend....","Observers","Max..Height.Trees....","Avg..Height.Trees....","Cover.Trees....","Max..Height.Shrubs....","Avg..Height.Shrubs....","Cover.Shrubs....","Max..Height.Field.Layer..vascular.....","Avg..Height.Field.Layer..vascular.....","Cover.Field.Layer..vascular.....","Cover.Juvenile....","Cover.Seedling....","Cover.Field.Layer..non.vascular....."
"16","X16","15",4,3,49.0754839,8.5484602,"WGS84",9,"N/A",280,23,"DE","Quadrat",100,"Stratified random","24.07.2018",0,0,"Broad-leaf deciduous forests","logger 15",35,5,60,"5",20,"Christine Mihalyfi-Dean, Maren Michalek, Jonathan Fritz, Carla Rivero Hernández, Paula Hartmann, Gruppe 4 Plot 11",7,7,2,5,3,"20",0.5,0.3,"35","N/A","N/A","N/A"
"17","X18","19",5,3,49.1034798,8.5752799,"WGS84",12,"156",230,22.5,"DE","Quadrat",100,"Stratified random","24.07.2018",0,0,"Broad-leaf deciduous forests","Logger 19",92,30,55,"1",20,"Tobi Wohnerau, Lasse Büngener, Daniel Abreham, Maria Riffel, Benedikt Berger",29,27,85,NA,NA,"35",NA,NA,"20","N/A","N/A","13"
"18","X19","Zusatzplot",5,4,49.1031154,8.5764759,"WGS84",4,"160",240,13,"DE","Quadrat",100,"Stratified random","24.07.2018",0,0,"Broad-leaf deciduous forests","neben Logger 19",90,1,95,"1",8,"Tobi Wohnerau, Lasse Büngener, Daniel Abreham, Maria Riffel, Benedikt Berger",24,21,75,NA,NA,"30",NA,NA,"5","N/A","N/A","5"
"19","X20","16",5,1,49.0734934,8.546729,"WGS84",11,"160",230,28,"DE","Quadrat",100,"Stratified random","24.07.2018",0,0,"Broad-leaf deciduous forests","Logger 16",90,5,75,"1",15,"Saskia Bräuner, Tobi Wohnerau, Lasse Büngener, Daniel Abreham, Maria Riffel, Benedikt Berger",29,28,80,NA,NA,"18",NA,NA,"42","N/A","N/A","1,75"
"20","X21","2",6,1,49.1086974,8.5775941,"WGS84",10,"176",350,11,"GP","Quadrat",100,"Stratified random","24.07.2018",0,0,"Broad-leaf deciduous forests","Logger 2",84,12,90,"10",15,"Ronja Beacker, Sarah Viet, Carlos Bimmler, Miri Provazi, Manuel Popp",25,10,70,1.5,1,"2",0.4,0.1,"80","N/A","N/A","2.5"
"21","X22","Zusatzplot",6,2,49.1084535,8.5791469,"WGS84",10,"161",30,25,"DE","Quadrat",100,"Stratified random","24.07.2018",0,0,"Broad-leaf deciduous forests","N/A",90,5,95,"3",10,"Carlos Bimmler, Sarah Veit, Manuel Popp, Miriam Provazi, Ronja Becker",30,20,90,4,2.5,"5",0.3,0.1,"30","N/A","N/A","2"
"22","X23","Zusatzplot",6,3,49.108361,8.5798469,"WGS84",11,"165",30,12,"DE","Quadrat",100,"Stratified random","24.07.2018",0,0,"Broad-leaf deciduous forests","N/A",95,1,90,"2",5,"Carlos Bimmler, Sarah Veit, Manuel Popp, Miriam Provazi, Ronja Becker",30,20,95,0.5,0.5,"1",0.3,0.2,"1","N/A","N/A","1"
"23","X24","Zusatzplot",6,4,49.109114,8.5776065,"WGS84",10,"143",15,2,"DE","Quadrat",100,"Stratified random","24.07.2018",0,0,"Broad-leaf deciduous forests","Keine Aufnahme",98,2,2,"2",3,"Carlos Bimmler, Sarah Veit, Manuel Popp, Miriam Provazi, Ronja Becker",30,25,75,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A","N/A"
"24","X25","18",6,5,49.0763319,8.5483506,"WGS84",12,"181",320,25,"DE","Quadrat",100,"Stratified random","25.07.2018",0,0,"Broad-leaf deciduous forests","Logger 18",98,2,82,"1",8,"Carlos Bimmler, Sarah Veit, Manuel Popp, Miriam Provazi, Ronja Becker",25,18,80,1.8,1.5,"5",0.5,0.3,"60","N/A","N/A","1"
"25","X26","Zusatzplot",6,6,49.0770244,8.5492818,"WGS84",5,"192",310,25,"DE","Quadrat",100,"Stratified random","25.07.2018",0,0,"Broad-leaf deciduous forests","N/A",90,5,40,"5",12,"Carlos Bimmler, Sarah Veit, Manuel Popp, Miriam Provazi, Ronja Becker",30,15,95,5,2,"40",0.5,0.2,"83","N/A","N/A","3"
