"X" "longitude" "latitude" "slope" "aspect" "cover_tree" "cover_shrub" "year" "cover_field" "location" "coord_system" "geodetic_dat" "accuracy_m" "altitude_m" "country" "Parent_plot" "shape" "size" "date" "formation" "pH" "foliage" "bare_soil" "litter" "standing_dead" "Living_stems" "Cover_field_layer_vascular" "cover_juvenile" "cover_seedling" "cover_field_layer_non_vascular" "Permanent_plot_id" "aspect_radians" "northerness" "vegclass" "color"
"65" "G2_2015" 8.5738034907 49.1041481549 25 NA 50 "60" 2015 "27" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 3
"66" "G3_2015" 8.5747604258 49.104394562 16 NA 70 "70" 2015 "40" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 3
"67" "H1_2015" 8.5791600383 49.1074331674 18.5 NA 60 "50" 2015 "40" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 4
"70" "E1_2015" 8.5781117415 49.1082569255 7 0 80 "10" 2015 "60" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 1
"71" "E2_2015" 8.5746903872 49.1045742138 16.5 225 40 "45" 2015 "10" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.92699081698724 -0.707106781186548 2 3
"72" "E3_2015" 8.5731928155 49.1050634385 26.5 315 60 "60" 2015 "7" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.49778714378214 0.707106781186547 1 1
"1" "id1_2016" 8.22824 49.0104 55 7 70 "6" 2016 "1" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.122173047639603 0.992546151641322 1 1
"2" "id2_2016" 8.22816 49.0999 0 0 80 "2" 2016 "1" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 1
"3" "id3_2016" 8.22866 49.0104 15 7 60 "20" 2016 "60" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.122173047639603 0.992546151641322 2 2
"4" "id5_2016" 8.22862 49.0108 0 0 40 "40" 2016 "40" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 3
"5" "id7_2016" 8.57684 49.1084 35 57 80 "45" 2016 "30" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.994837673636768 0.544639035015027 2 2
"6" "id8_2016" 8.57915 49.1085 27 2 80 "1" 2016 "12" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.0349065850398866 0.999390827019096 2 2
"7" "id10_2016" 8.57536 49.1036 37 39 70 "25" 2016 "15" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.680678408277788 0.777145961456971 1 3
"8" "id12_2016" 8.22828 49.0106 13 30 2 "85" 2016 "75" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.523598775598299 0.866025403784439 2 2
"9" "id13_2016" 8.22278 49.0106 36 43 3 "96" 2016 "60" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.750491578357562 0.731353701619171 1 1
"10" "id14_2016" 8.22753 49.0105 0 0 5 "95" 2016 "80" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 1
"11" "id16_2016" 8.22693 49.0119 0 0 20 "70" 2016 "75" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1 1
"12" "G2_2016" 8.22874 49.01019 3 270 40 "3" 2016 "90" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.71238898038469 -1.83697019872103e-16 3 4
"13" "G3_2016" 8.22772 49.01033 0 260 95 "1" 2016 "1" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.53785605518526 -0.17364817766693 3 1
"14" "G4_2016" 8.22736 49.01127 15 260 40 "60" 2016 "40" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.53785605518526 -0.17364817766693 3 4
"15" "G5_2016" 8.2271 49.01134 37 250 85 "1" 2016 "1" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.36332312998582 -0.342020143325669 1 1
"16" "C1_2016" 8.57847 49.10855 15 21 50 "20" 2016 "65" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.366519142918809 0.933580426497202 3 4
"17" "C2_2016" 8.5753 49.10377 27 212 60 "30" 2016 "10" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.70009801422798 -0.848048096156426 2 3
"18" "C4_2016" 8.57596 49.10414 13 260 95 "10" 2016 "5" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.53785605518526 -0.17364817766693 1 1
"19" "C3_2016" 8.57573 49.10388 20 238 80 "20" 2016 "2" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.1538836197465 -0.529919264233205 2 3
"20" "B1_2016" 8.5779 49.10816 2 315 70 "60" 2016 "10" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.49778714378214 0.707106781186547 3 4
"21" "B2_2016" 8.57661 49.10867 26 290 45 "15" 2016 "30" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.06145483078356 0.342020143325668 3 4
"22" "B3_2016" 8.57619 49.10368 18 200 50 "30" 2016 "7" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.49065850398866 -0.939692620785908 1 3
"23" "B4_2016" 8.5758 49.1045 18 200 50 "20" 2016 "15" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.49065850398866 -0.939692620785908 2 3
"24" "H1_2016" 8.57947 49.10751 7 360 70 "10" 2016 "15" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.28318530717959 1 3 4
"25" "H2_2016" 8.57923 49.10734 2 350 25 "90" 2016 "30" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.10865238198015 0.984807753012208 3 4
"26" "H3_2016" 8.5746 49.10406 20 230 60 "40" 2016 "25" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.01425727958696 -0.642787609686539 2 3
"27" "H4_2016" 8.57468 49.10416 25 220 70 "40" 2016 "5" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.83972435438753 -0.766044443118978 2 3
"28" "H5_2016" 8.57456 49.1045 27 230 90 "30" 2016 "15" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.01425727958696 -0.642787609686539 2 3
"29" "H6_2016" 8.22764 49.01065 NA 40 70 "1" 2016 "1" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.698131700797732 0.766044443118978 1 1
"30" "H7_2016" 8.22723 49.0108 2 225 90 "30" 2016 "35" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.92699081698724 -0.707106781186548 1 1
"31" "H8_2016" 8.22641 49.0106 NA NA 40 "20" 2016 "60" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 1
"32" "H9_2016" 8.22712 49.01145 7 60 40 "40" 2016 "30" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.0471975511966 0.5 3 4
"33" "H10_2016" 8.2268 49.0117 7 60 50 "80" 2016 "80" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.0471975511966 0.5 3 4
"34" "F1_2016" 8.57932 49.10847 NA 15 83 "9" 2016 "10" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.261799387799149 0.965925826289068 3 4
"35" "F2_2016" 8.57811 49.10814 NA 13 85 "33" 2016 "83" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.226892802759263 0.974370064785235 3 4
"36" "F3_2016" 8.57712 49.1014 NA 35 70 "3" 2016 "10" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.610865238198015 0.819152044288992 1 1
"37" "F4_2016" 8.57586 49.1033 NA 20 55 "25" 2016 "5" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.349065850398866 0.939692620785908 2 3
"38" "F5_2016" 8.22745 49.00998 NA 0 60 "20" 2016 "20" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 3 4
"39" "F6_2016" 8.2278 49.01017 NA 0 96 "8" 2016 "2" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 3 1
"40" "F7_2016" 8.2277 49.01062 NA 25 50 "4" 2016 "6" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.436332312998582 0.90630778703665 1 1
"41" "F8_2016" 8.22814 49.01097 NA 0 15 "40" 2016 "83" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 3 4
"42" "F9_2016" 8.2291 49.01092 NA 0 40 "15" 2016 "10" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 3 4
"43" "G6_2016" 8.22849 49.01006 28 40 85 "3" 2016 "2" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.698131700797732 0.766044443118978 1 1
"44" "G6.1_2016" 8.22798 49.01244 3 NA 40 "3" 2016 "25" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 4
"45" "G7_2016" 8.22769 49.0093 3 160 70 "7" 2016 "10" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.79252680319093 -0.939692620785908 3 3
"46" "G1_2016" 8.22836 49.00986 1 NA 80 "5" 2016 "25" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 4
"47" "B5_2016" 8.2293 49.01059 0 NA 75 "5" 2016 "2" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 4
"48" "B8_2016" 8.22737 49.01233 0 NA 30 "25" 2016 "2" "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 4
"73" "p2_2017" 8.34 49.6 29 225 75 "25" 2017 NA "E" "Latlon" "WGS84" NA "188" "DE" "logger_19" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 4.5 85 40 60 "0" 3 "10" 15 10 "1" 19 3.92699081698724 -0.707106781186548 2 3
"74" "p3_2017" 8.3454 49.6179 20 225 80 "30" 2017 NA "E" "Latlon" "WGS84" NA "190" "DE" "logger_19_2" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 4 90 5 80 "1" 15 "1" 15 10 "8" 19.2 3.92699081698724 -0.707106781186548 1 1
"75" "p4_2017" 8 49 16 330 80 "5" 2017 NA "E" "Latlon" "WGS84" NA NA "DE" "logger_20" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 4.5 85 2 98 "2" 3 "50" 1 1 "3" 20 5.75958653158129 0.866025403784438 2 2
"76" "p5_2017" 8.58 49.1 3 330 75 "12" 2017 NA "E" "Latlon" "WGS84" NA "231" "DE" "logger_7" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 5 95 5 95 "0" 3 "60" 1 1 "4" 7 5.75958653158129 0.866025403784438 2 1
"77" "p6_2017" 8.5 49.1 12 320 80 "4" 2017 NA "E" "Latlon" "WGS84" NA "186" "DE" "logger_2_2" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 6.5 95 0 100 "0" 2 "70" 3 1 "4" 2.2 5.58505360638185 0.766044443118978 2 2
"78" "p8_2017" 8.0435 49.6426 22 300 60 "2" 2017 NA "E" "Latlon" "WGS84" NA "165" "DE" "logger_6" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 5 75 2 80 "1" 2 "40" 1 1 "10" 6 5.23598775598299 0.5 3 2
"79" "p9_2017" 8.34394 49.6222 25 230 70 "5" 2017 NA "E" "Latlon" "WGS84" NA NA "DE" "logger_4_2" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 7.5 80 1 96 "1" 2 "40" 1 1 "10" 4.2 4.01425727958696 -0.642787609686539 2 2
"80" "p11_2017" 8.57 49.1 11 225 90 "3" 2017 NA "E" "Latlon" "WGS84" 5 "254" "DE" "logger_1" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 4.5 95 1 99 "1" 5 "7" 1 1 "1" 1 3.92699081698724 -0.707106781186548 1 2
"81" "p12_2017" 8.34 49.6 21 199 65 "10" 2017 NA "E" "Latlon" "WGS84" 5 "250" "DE" "logger_10 " "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 4.5 80 15 70 "1" 6 "5" 5 1 "15" 10 3.47320521146872 -0.945518575599317 2 3
"82" "p14_2017" 8.57445 49.1056 13 315 70 "25" 2017 NA "E" "Latlon" "WGS84" 10 "194" "DE" "logger_11" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 7 80 4 96 "1" 3 "40" 0 1 "1" 11 5.49778714378214 0.707106781186547 2 1
"83" "p15_2017" 8.57261 49.1041 40 190 70 "25" 2017 NA "E" "Latlon" "WGS84" 6 "139" "DE" "logger_4" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 6 70 5 40 "1" 3 "60" 1 2 "6" 4 3.31612557878923 -0.984807753012208 2 2
"84" "p17_2017" 8.34648 49.6524 19 30 85 "2" 2017 NA "E" "Latlon" "WGS84" NA "144" "DE" "logger_2" "Quadrat" 100 "8.8.2017" "Deciduous broadleaf forest" 7 95 1 70 "1" 1 "70" 3 2 "2" 2 0.523598775598299 0.866025403784439 2 2
"85" "p19_2017" 8.54836 49.0763 19 310 10 "7" 2017 NA "E" "Latlon" "WGS84" 13 "181" "DE" "logger_18" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 7 100 2 65 "1" 10 "35" 15 3 "1" 18 5.41052068118242 0.642787609686539 2 1
"86" "p20_2017" 8.55143 49.0782 21 0 50 "60" 2017 NA "E" "Latlon" "WGS84" 9 "176" "DE" "logger_18_2" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 7 90 1 10 "5" 10 "75" 10 10 "2" 18.2 0 1 2 2
"87" "p21_2017" 8.55 49.1 18 300 80 "25" 2017 NA "E" "Latlon" "WGS84" NA "218" "DE" "logger_15" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 6.5 90 1 99 "1" 5 "30" 15 5 "0.1" 15 5.23598775598299 0.5 2 2
"88" "p22_2017" 8.32888 49.436 2 0 85 "25" 2017 NA "E" "Latlon" "WGS84" NA NA "DE" "logger_21" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 6 90 1 80 "1" 2 "40" 0 0 "1" 21 0 1 1 1
"89" "p23_2017" 8.32972 49.4418 34 170 65 "30" 2017 NA "E" "Latlon" "WGS84" NA NA "DE" "logger_22" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 5 70 40 30 "0" 1 "25" 2 1 "1" 22 2.96705972839036 -0.984807753012208 2 3
"90" "p25_2017" 8.55254 49.0774 24 230 75 "1" 2017 NA "E" "Latlon" "WGS84" 5 "207" "DE" "logger_13" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 5 85 1 99 "0" 2 "20" 2 2 "1" 13 4.01425727958696 -0.642787609686539 1 1
"91" "p27_2017" 8.55187 49.0786 17 30 93 "20" 2017 NA "E" "Latlon" "WGS84" 11 "153" "DE" "logger_14" "Quadrat" 100 "9.8.2017" "Deciduous broadleaf forest" 5 95 4 95 "1" 1 "40" 15 5 "2" 14 0.523598775598299 0.866025403784439 2 2
"92" "id_1_2018" 8.5767747 49.1054052 9 315 95 "18" 2018 "60" NA NA "EPSG:4326" NA "233" "DE" "7" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 40 90 "N/A" NA "60" NA NA "N/A" NA 5.49778714378214 0.707106781186547 2 1
"93" "id_2_2018" 8.5725945 49.104066 37 220 90 "40" 2018 "70" NA NA "EPSG:4326" NA "146" "DE" "4" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 20 40 "N/A" NA "70" NA NA "N/A" NA 3.83972435438753 -0.766044443118978 2 2
"94" "id_3_2018" 8.55164 49.07483 0 0 95 "3" 2018 "30" NA NA "EPSG:4326" NA "236" "DE" "12" "Quadrat" 100 "25.07.2018" "Broad-leaf deciduous forests" NA NA 70 90 "N/A" NA "30" NA NA "N/A" NA 0 1 2 2
"95" "id_4_2018" 8.5772 49.07258 0 0 95 "30" 2018 "45" NA NA "EPSG:4326" NA "170" "DE" "21" "Quadrat" 100 "25.07.2018" "Broad-leaf deciduous forests" NA NA 50 80 "N/A" NA "45" NA NA "N/A" NA 0 1 1 1
"96" "id_5_2018" 8.5762765 49.1065299 10 280 95 "25" 2018 "45" NA NA "WGS84" NA "263" "DE" "1" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 0 90 "2" NA "45" NA NA "N/A" NA 4.88692190558412 0.17364817766693 2 1
"97" "id_6_2018" 8.5749619 49.1071403 30 315 75 "2" 2018 "35" NA NA "WGS84" NA "205" "DE" "6" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 3 70 "5" NA "35" NA NA "N/A" NA 5.49778714378214 0.707106781186547 3 2
"98" "id_7_2018" 8.5523928 49.0773383 25 50 85 "5" 2018 "5" NA NA "WGS84" NA "258" "DE" "13" "Quadrat" 100 "25.07.2018" "Broad-leaf deciduous forests" NA NA 5 90 "0" NA "5" NA NA "N/A" NA 0.872664625997165 0.642787609686539 1 1
"99" "id_8_2018" 8.5493465 49.0735968 35 180 70 "20" 2018 "50" NA NA "WGS84" NA "255" "DE" "22" "Quadrat" 100 "25.07.2018" "Broad-leaf deciduous forests" NA NA 30 25 "0" NA "50" NA NA "N/A" NA 3.14159265358979 -1 2 3
"100" "id_9_2018" 8.5787485 49.10829 8 15 80 "1" 2018 "40" NA NA "WGS84" NA "183" "DE" "20" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 1 60 "2" NA "40" NA NA "1" NA 0.261799387799149 0.965925826289068 2 2
"101" "id_10_2018" 8.5741878 49.1042317 26 210 70 "20" 2018 "20" NA NA "WGS84" NA "191" "DE" "10" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 7 60 "1" NA "20" NA NA "20" NA 3.66519142918809 -0.866025403784439 2 3
"102" "id_11_2018" 8.5738616 49.1044073 21 210 80 "20" 2018 "10" NA NA "WGS84" NA "191" "DE" "Zusatzplot" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 30 50 "2" NA "10" NA NA "5" NA 3.66519142918809 -0.866025403784439 2 3
"103" "id_12_2018" 8.5518136 49.0784163 18 20 85 "5" 2018 "15" NA NA "WGS84" NA "180" "DE" "14" "Quadrat" 100 "25.07.2018" "Broad-leaf deciduous forests" NA NA 5 95 "0" NA "15" NA NA "0" NA 0.349065850398866 0.939692620785908 2 2
"104" "id_13_2018" 8.5536022 49.0774779 24 45 100 "7" 2018 "15" NA NA "WGS84" NA "200" "DE" "Zusatzplot" "Quadrat" 100 "25.07.2018" "Broad-leaf deciduous forests" NA NA 0 95 "0" NA "15" NA NA "1" NA 0.785398163397448 0.707106781186548 3 2
"105" "id_14_2018" 8.5745283 49.1055474 9 350 75 "15" 2018 "10" NA NA "WGS84" NA "N/A" "DE" "11" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 2 80 "1" NA "10" NA NA "N/A" NA 6.10865238198015 0.984807753012208 2 1
"106" "id_15_2018" 8.5758371 49.1032186 20 210 70 "20" 2018 "3" NA NA "WGS84" NA "N/A" "DE" "Zusatzplot" "Quadrat" 100 "23.07.2018" "Broad-leaf deciduous forests" NA NA 20 60 "1" NA "3" NA NA "N/A" NA 3.66519142918809 -0.866025403784439 1 3
"107" "id_16_2018" 8.5484602 49.0754839 23 280 2 "20" 2018 "35" NA NA "WGS84" NA "N/A" "DE" "15" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 5 60 "5" NA "35" NA NA "N/A" NA 4.88692190558412 0.17364817766693 2 3
"108" "id_17_2018" 8.5752799 49.1034798 22.5 230 85 "35" 2018 "20" NA NA "WGS84" NA "156" "DE" "19" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 30 55 "1" NA "20" NA NA "13" NA 4.01425727958696 -0.642787609686539 1 1
"109" "id_18_2018" 8.5764759 49.1031154 13 240 75 "30" 2018 "5" NA NA "WGS84" NA "160" "DE" "Zusatzplot" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 1 95 "1" NA "5" NA NA "5" NA 4.18879020478639 -0.5 1 1
"110" "id_19_2018" 8.546729 49.0734934 28 230 80 "18" 2018 "42" NA NA "WGS84" NA "160" "DE" "16" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 5 75 "1" NA "42" NA NA "1,75" NA 4.01425727958696 -0.642787609686539 2 1
"111" "id_20_2018" 8.5775941 49.1086974 11 350 70 "2" 2018 "80" NA NA "WGS84" NA "176" "DE" "2" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 12 90 "10" NA "80" NA NA "2.5" NA 6.10865238198015 0.984807753012208 2 2
"112" "id_21_2018" 8.5791469 49.1084535 25 30 90 "5" 2018 "30" NA NA "WGS84" NA "161" "DE" "Zusatzplot" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 5 95 "3" NA "30" NA NA "2" NA 0.523598775598299 0.866025403784439 3 2
"113" "id_22_2018" 8.5798469 49.108361 12 30 95 "1" 2018 "1" NA NA "WGS84" NA "165" "DE" "Zusatzplot" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 1 90 "2" NA "1" NA NA "1" NA 0.523598775598299 0.866025403784439 1 1
"114" "id_23_2018" 8.5776065 49.109114 2 15 75 "N/A" 2018 "N/A" NA NA "WGS84" NA "143" "DE" "Zusatzplot" "Quadrat" 100 "24.07.2018" "Broad-leaf deciduous forests" NA NA 2 2 "2" NA "N/A" NA NA "N/A" NA 0.261799387799149 0.965925826289068 NA NA
"115" "id_24_2018" 8.5483506 49.0763319 25 320 80 "5" 2018 "60" NA NA "WGS84" NA "181" "DE" "18" "Quadrat" 100 "25.07.2018" "Broad-leaf deciduous forests" NA NA 2 82 "1" NA "60" NA NA "1" NA 5.58505360638185 0.766044443118978 2 1
"116" "id_25_2018" 8.5492818 49.0770244 25 310 95 "40" 2018 "83" NA NA "WGS84" NA "192" "DE" "Zusatzplot" "Quadrat" 100 "25.07.2018" "Broad-leaf deciduous forests" NA NA 5 40 "5" NA "83" NA NA "3" NA 5.41052068118242 0.642787609686539 1 3
